Model,CondA,CondB,A_only,B_only,chi2_cc,OR,p_exact,p_holm,sig_holm
GPT-5.5,A_clean,A_hinted,59,38,4.124,1.55,0.041729321201286,1.0,False
GPT-5.5,A_clean,B_clean,11,6,0.941,1.83,0.332305908203125,1.0,False
GPT-5.5,A_clean,B_hinted,64,37,6.693,1.73,0.009335048120644805,0.3267266842225682,False
GPT-5.5,A_clean,C_clean,20,11,2.065,1.82,0.14961278438568115,1.0,False
GPT-5.5,A_clean,C_hinted,34,31,0.062,1.1,0.8043170001933984,1.0,False
GPT-5.5,A_clean,D_clean,25,9,6.618,2.78,0.00904118549078703,0.32548267766833305,False
GPT-5.5,A_clean,D_hinted,83,40,14.341,2.08,0.00013195984718932787,0.005542313581951771,True
GPT-5.5,A_clean,E_clean,23,12,2.857,1.92,0.08953107893466952,1.0,False
GPT-5.5,A_clean,E_hinted,50,36,1.965,1.39,0.16057841913397977,1.0,False
GPT-5.5,A_hinted,B_clean,37,53,2.5,0.7,0.11334435404342058,1.0,False
GPT-5.5,A_hinted,B_hinted,14,8,1.136,1.75,0.28627872467041016,1.0,False
GPT-5.5,A_hinted,C_clean,40,52,1.315,0.77,0.25132210347485456,1.0,False
GPT-5.5,A_hinted,C_hinted,17,35,5.558,0.49,0.017533235299084904,0.5785967648698018,False
GPT-5.5,A_hinted,D_clean,42,47,0.18,0.89,0.6718086491746103,1.0,False
GPT-5.5,A_hinted,D_hinted,27,5,13.781,5.4,0.00011307420209050179,0.004862190689891577,True
GPT-5.5,A_hinted,E_clean,36,46,0.988,0.78,0.3202933636380142,1.0,False
GPT-5.5,A_hinted,E_hinted,19,26,0.8,0.73,0.3712980344710104,1.0,False
GPT-5.5,B_clean,B_hinted,59,37,4.594,1.59,0.03154812025373351,1.0,False
GPT-5.5,B_clean,C_clean,17,13,0.3,1.31,0.5846647117286922,1.0,False
GPT-5.5,B_clean,C_hinted,28,30,0.017,0.93,0.8956832138895906,1.0,False
GPT-5.5,B_clean,D_clean,19,8,3.704,2.38,0.052238985896110535,1.0,False
GPT-5.5,B_clean,D_hinted,77,39,11.802,1.97,0.0005340946135287203,0.02189787915467753,True
GPT-5.5,B_clean,E_clean,18,12,0.833,1.5,0.36159460805356514,1.0,False
GPT-5.5,B_clean,E_hinted,44,35,0.81,1.26,0.3681876338306311,1.0,False
GPT-5.5,B_hinted,C_clean,39,57,3.01,0.68,0.08219306855694346,1.0,False
GPT-5.5,B_hinted,C_hinted,16,40,9.446,0.4,0.001841554788492544,0.06997908196271667,False
GPT-5.5,B_hinted,D_clean,41,52,1.075,0.79,0.29973169689703033,1.0,False
GPT-5.5,B_hinted,D_hinted,24,8,7.031,3.0,0.0070003666914999485,0.2590135675854981,False
GPT-5.5,B_hinted,E_clean,37,53,2.5,0.7,0.11334435404342058,1.0,False
GPT-5.5,B_hinted,E_hinted,16,29,3.2,0.55,0.07245426016254441,1.0,False
GPT-5.5,C_clean,C_hinted,21,27,0.521,0.78,0.470879013621712,1.0,False
GPT-5.5,C_clean,D_clean,17,10,1.333,1.7,0.24778856337070465,1.0,False
GPT-5.5,C_clean,D_hinted,70,36,10.274,1.94,0.0012402397143976502,0.049609588575906007,True
GPT-5.5,C_clean,E_clean,11,9,0.05,1.22,0.8238029479980469,1.0,False
GPT-5.5,C_clean,E_hinted,38,33,0.225,1.15,0.6353076420876663,1.0,False
GPT-5.5,C_hinted,D_clean,31,18,2.939,1.72,0.08543313315739454,1.0,False
GPT-5.5,C_hinted,D_hinted,53,13,23.045,4.08,7.237175237417024e-07,3.256728856837661e-05,True
GPT-5.5,C_hinted,E_clean,26,18,1.114,1.44,0.2912152365458951,1.0,False
GPT-5.5,C_hinted,E_hinted,24,13,2.703,1.85,0.09887174959294498,1.0,False
GPT-5.5,D_clean,D_hinted,65,38,6.563,1.71,0.010063333265586338,0.3421533310299355,False
GPT-5.5,D_clean,E_clean,11,16,0.593,0.69,0.44206833839416504,1.0,False
GPT-5.5,D_clean,E_hinted,34,36,0.014,0.94,0.9049745264594622,1.0,False
GPT-5.5,D_hinted,E_clean,33,65,9.806,0.51,0.0016005802102081264,0.062422628198116926,False
GPT-5.5,D_hinted,E_hinted,10,39,16.0,0.26,3.845911694355664e-05,0.001692201145516492,True
GPT-5.5,E_clean,E_hinted,34,31,0.062,1.1,0.8043170001933984,1.0,False
