sample_id,rel_path,cwe,sanitizer,true_label,condition,variant,hint,run_id,model,prediction,cwe_type,confidence,error
S0001,raw_sard_php/Injection/CWE_78/safe/CWE_78__GET__func_FILTER-CLEANING-magic_quotes_filter__ls-interpretation_simple_quote.php,CWE_78,func_FILTER-CLEANING-magic_quotes_filter,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Vulnerable,CWE-78,95,
S0002,raw_sard_php/Injection/CWE_78/safe/CWE_78__GET__func_preg_replace__cat-concatenation_simple_quote.php,CWE_78,func_preg_replace,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Vulnerable,CWE-22,88,
S0003,raw_sard_php/Injection/CWE_78/safe/CWE_78__GET__ternary_white_list__find_size-sprintf_%s_simple_quote.php,CWE_78,ternary_white_list,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Safe,None,95,
S0004,raw_sard_php/Injection/CWE_78/safe/CWE_78__GET__whitelist_using_array__cat-concatenation_simple_quote.php,CWE_78,whitelist_using_array,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Safe,None,95,
S0005,raw_sard_php/Injection/CWE_78/safe/CWE_78__POST__CAST-cast_float_sort_of__find_size-interpretation_simple_quote.php,CWE_78,CAST-cast_float_sort_of,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Safe,None,90,
S0006,raw_sard_php/Injection/CWE_78/safe/CWE_78__SESSION__CAST-cast_float__find_size-concatenation_simple_quote.php,CWE_78,CAST-cast_float,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Safe,None,95,
S0007,raw_sard_php/Injection/CWE_78/safe/CWE_78__SESSION__CAST-cast_float__find_size-interpretation_simple_quote.php,CWE_78,CAST-cast_float,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Safe,None,95,
S0008,raw_sard_php/Injection/CWE_78/safe/CWE_78__SESSION__func_addslashes__cat-sprintf_%s_simple_quote.php,CWE_78,func_addslashes,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Vulnerable,CWE-78,95,
S0009,raw_sard_php/Injection/CWE_78/safe/CWE_78__SESSION__ternary_white_list__ls-interpretation_simple_quote.php,CWE_78,ternary_white_list,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Safe,None,95,
S0010,raw_sard_php/Injection/CWE_78/safe/CWE_78__array-GET__CAST-cast_int__find_size-concatenation_simple_quote.php,CWE_78,CAST-cast_int,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Safe,None,95,
S0011,raw_sard_php/Injection/CWE_78/safe/CWE_78__array-GET__CAST-func_settype_int__find_size-concatenation_simple_quote.php,CWE_78,CAST-func_settype_int,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Safe,None,95,
S0012,raw_sard_php/Injection/CWE_78/safe/CWE_78__array-GET__func_FILTER-CLEANING-magic_quotes_filter__ls-interpretation_simple_quote.php,CWE_78,func_FILTER-CLEANING-magic_quotes_filter,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Vulnerable,CWE-78,95,
S0013,raw_sard_php/Injection/CWE_78/safe/CWE_78__array-GET__func_FILTER-VALIDATION-number_float_filter__find_size-interpretation_simple_quote.php,CWE_78,func_FILTER-VALIDATION-number_float_filter,Safe,A_clean,A,clean,1,gpt-5.5-2026-04-23,Safe,None,86,
