File_Name,True_Label,True_CWE,Variant_A_Baseline,Variant_E_Full
CWE_78__GET__func_FILTER-CLEANING-magic_quotes_filter__cat-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_FILTER-CLEANING-magic_quotes_filter__cat-interpretation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_FILTER-CLEANING-magic_quotes_filter__cat-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_FILTER-CLEANING-magic_quotes_filter__ls-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_FILTER-CLEANING-magic_quotes_filter__ls-interpretation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_FILTER-CLEANING-magic_quotes_filter__ls-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_FILTER-CLEANING-number_float_filter__find_size-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_FILTER-CLEANING-number_float_filter__find_size-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_FILTER-CLEANING-number_float_filter__find_size-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_FILTER-CLEANING-number_int_filter__find_size-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_FILTER-CLEANING-number_int_filter__find_size-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_FILTER-CLEANING-number_int_filter__find_size-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_FILTER-VALIDATION-number_float_filter__find_size-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_FILTER-VALIDATION-number_float_filter__find_size-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_FILTER-VALIDATION-number_float_filter__find_size-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
