Model,CondA,CondB,A_only,B_only,p_exact,p_holm,sig_holm
GPT-3.5-turbo-0125,A_clean,A_hinted,2,4,0.6875,1.0,False
GPT-3.5-turbo-0125,A_clean,B_clean,0,0,1.0,1.0,False
GPT-3.5-turbo-0125,A_clean,B_hinted,2,0,0.5,1.0,False
GPT-3.5-turbo-0125,A_clean,C_clean,3,1,0.625,1.0,False
GPT-3.5-turbo-0125,A_clean,C_hinted,11,5,0.210113525390625,1.0,False
GPT-3.5-turbo-0125,A_clean,D_clean,1,7,0.0703125,1.0,False
GPT-3.5-turbo-0125,A_clean,D_hinted,1,8,0.0390625,1.0,False
GPT-3.5-turbo-0125,A_clean,E_clean,6,7,1.0,1.0,False
GPT-3.5-turbo-0125,A_clean,E_hinted,6,12,0.237884521484375,1.0,False
GPT-3.5-turbo-0125,A_hinted,B_clean,4,2,0.6875,1.0,False
GPT-3.5-turbo-0125,A_hinted,B_hinted,5,1,0.21875,1.0,False
GPT-3.5-turbo-0125,A_hinted,C_clean,7,3,0.34375,1.0,False
GPT-3.5-turbo-0125,A_hinted,C_hinted,13,5,0.09625244140625,1.0,False
GPT-3.5-turbo-0125,A_hinted,D_clean,5,9,0.4239501953125,1.0,False
GPT-3.5-turbo-0125,A_hinted,D_hinted,3,8,0.2265625,1.0,False
GPT-3.5-turbo-0125,A_hinted,E_clean,6,5,1.0,1.0,False
GPT-3.5-turbo-0125,A_hinted,E_hinted,6,10,0.454498291015625,1.0,False
GPT-3.5-turbo-0125,B_clean,B_hinted,2,0,0.5,1.0,False
GPT-3.5-turbo-0125,B_clean,C_clean,3,1,0.625,1.0,False
GPT-3.5-turbo-0125,B_clean,C_hinted,11,5,0.210113525390625,1.0,False
GPT-3.5-turbo-0125,B_clean,D_clean,1,7,0.0703125,1.0,False
GPT-3.5-turbo-0125,B_clean,D_hinted,1,8,0.0390625,1.0,False
GPT-3.5-turbo-0125,B_clean,E_clean,6,7,1.0,1.0,False
GPT-3.5-turbo-0125,B_clean,E_hinted,6,12,0.237884521484375,1.0,False
GPT-3.5-turbo-0125,B_hinted,C_clean,2,2,1.0,1.0,False
GPT-3.5-turbo-0125,B_hinted,C_hinted,9,5,0.4239501953125,1.0,False
GPT-3.5-turbo-0125,B_hinted,D_clean,1,9,0.021484375,0.90234375,False
GPT-3.5-turbo-0125,B_hinted,D_hinted,1,10,0.01171875,0.50390625,False
GPT-3.5-turbo-0125,B_hinted,E_clean,4,7,0.548828125,1.0,False
GPT-3.5-turbo-0125,B_hinted,E_hinted,4,12,0.076812744140625,1.0,False
GPT-3.5-turbo-0125,C_clean,C_hinted,9,5,0.4239501953125,1.0,False
GPT-3.5-turbo-0125,C_clean,D_clean,1,9,0.021484375,0.90234375,False
GPT-3.5-turbo-0125,C_clean,D_hinted,2,11,0.0224609375,0.90234375,False
GPT-3.5-turbo-0125,C_clean,E_clean,4,7,0.548828125,1.0,False
GPT-3.5-turbo-0125,C_clean,E_hinted,3,11,0.057373046875,1.0,False
GPT-3.5-turbo-0125,C_hinted,D_clean,6,18,0.0226558446884155,0.90234375,False
GPT-3.5-turbo-0125,C_hinted,D_hinted,4,17,0.0071973800659179,0.3166847229003906,False
GPT-3.5-turbo-0125,C_hinted,E_clean,3,10,0.09228515625,1.0,False
GPT-3.5-turbo-0125,C_hinted,E_hinted,2,14,0.004180908203125,0.188140869140625,False
GPT-3.5-turbo-0125,D_clean,D_hinted,6,7,1.0,1.0,False
GPT-3.5-turbo-0125,D_clean,E_clean,11,6,0.332305908203125,1.0,False
GPT-3.5-turbo-0125,D_clean,E_hinted,10,10,1.0,1.0,False
GPT-3.5-turbo-0125,D_hinted,E_clean,12,6,0.237884521484375,1.0,False
GPT-3.5-turbo-0125,D_hinted,E_hinted,9,8,1.0,1.0,False
GPT-3.5-turbo-0125,E_clean,E_hinted,6,11,0.332305908203125,1.0,False
GPT-4o-mini,A_clean,A_hinted,0,2,0.5,1.0,False
GPT-4o-mini,A_clean,B_clean,0,0,1.0,1.0,False
GPT-4o-mini,A_clean,B_hinted,0,1,1.0,1.0,False
GPT-4o-mini,A_clean,C_clean,0,3,0.25,1.0,False
GPT-4o-mini,A_clean,C_hinted,1,4,0.375,1.0,False
GPT-4o-mini,A_clean,D_clean,0,1,1.0,1.0,False
GPT-4o-mini,A_clean,D_hinted,0,4,0.125,1.0,False
GPT-4o-mini,A_clean,E_clean,0,2,0.5,1.0,False
GPT-4o-mini,A_clean,E_hinted,0,0,1.0,1.0,False
GPT-4o-mini,A_hinted,B_clean,2,0,0.5,1.0,False
GPT-4o-mini,A_hinted,B_hinted,1,0,1.0,1.0,False
GPT-4o-mini,A_hinted,C_clean,1,2,1.0,1.0,False
GPT-4o-mini,A_hinted,C_hinted,2,3,1.0,1.0,False
GPT-4o-mini,A_hinted,D_clean,2,1,1.0,1.0,False
GPT-4o-mini,A_hinted,D_hinted,0,2,0.5,1.0,False
GPT-4o-mini,A_hinted,E_clean,2,2,1.0,1.0,False
GPT-4o-mini,A_hinted,E_hinted,2,0,0.5,1.0,False
GPT-4o-mini,B_clean,B_hinted,0,1,1.0,1.0,False
GPT-4o-mini,B_clean,C_clean,0,3,0.25,1.0,False
