sample_id,rel_path,cwe,sanitizer,true_label,condition,variant,hint,run_id,model,prediction,cwe_type,confidence,error
S0001,raw_sard_php/Injection/CWE_78/safe/CWE_78__GET__func_FILTER-CLEANING-magic_quotes_filter__ls-interpretation_simple_quote.php,CWE_78,func_FILTER-CLEANING-magic_quotes_filter,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0002,raw_sard_php/Injection/CWE_78/safe/CWE_78__GET__func_preg_replace__cat-concatenation_simple_quote.php,CWE_78,func_preg_replace,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0003,raw_sard_php/Injection/CWE_78/safe/CWE_78__GET__ternary_white_list__find_size-sprintf_%s_simple_quote.php,CWE_78,ternary_white_list,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0004,raw_sard_php/Injection/CWE_78/safe/CWE_78__GET__whitelist_using_array__cat-concatenation_simple_quote.php,CWE_78,whitelist_using_array,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0005,raw_sard_php/Injection/CWE_78/safe/CWE_78__POST__CAST-cast_float_sort_of__find_size-interpretation_simple_quote.php,CWE_78,CAST-cast_float_sort_of,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0006,raw_sard_php/Injection/CWE_78/safe/CWE_78__SESSION__CAST-cast_float__find_size-concatenation_simple_quote.php,CWE_78,CAST-cast_float,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0007,raw_sard_php/Injection/CWE_78/safe/CWE_78__SESSION__CAST-cast_float__find_size-interpretation_simple_quote.php,CWE_78,CAST-cast_float,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0008,raw_sard_php/Injection/CWE_78/safe/CWE_78__SESSION__func_addslashes__cat-sprintf_%s_simple_quote.php,CWE_78,func_addslashes,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0009,raw_sard_php/Injection/CWE_78/safe/CWE_78__SESSION__ternary_white_list__ls-interpretation_simple_quote.php,CWE_78,ternary_white_list,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0010,raw_sard_php/Injection/CWE_78/safe/CWE_78__array-GET__CAST-cast_int__find_size-concatenation_simple_quote.php,CWE_78,CAST-cast_int,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-20,85,
S0011,raw_sard_php/Injection/CWE_78/safe/CWE_78__array-GET__CAST-func_settype_int__find_size-concatenation_simple_quote.php,CWE_78,CAST-func_settype_int,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-20,85,
S0012,raw_sard_php/Injection/CWE_78/safe/CWE_78__array-GET__func_FILTER-CLEANING-magic_quotes_filter__ls-interpretation_simple_quote.php,CWE_78,func_FILTER-CLEANING-magic_quotes_filter,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0013,raw_sard_php/Injection/CWE_78/safe/CWE_78__array-GET__func_FILTER-VALIDATION-number_float_filter__find_size-interpretation_simple_quote.php,CWE_78,func_FILTER-VALIDATION-number_float_filter,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-20,75,
S0014,raw_sard_php/Injection/CWE_78/safe/CWE_78__backticks__CAST-cast_int_sort_of2__find_size-concatenation_simple_quote.php,CWE_78,CAST-cast_int_sort_of2,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0015,raw_sard_php/Injection/CWE_78/safe/CWE_78__backticks__CAST-cast_int_sort_of__find_size-concatenation_simple_quote.php,CWE_78,CAST-cast_int_sort_of,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0016,raw_sard_php/Injection/CWE_78/safe/CWE_78__backticks__func_FILTER-CLEANING-number_int_filter__find_size-sprintf_%s_simple_quote.php,CWE_78,func_FILTER-CLEANING-number_int_filter,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0017,raw_sard_php/Injection/CWE_78/safe/CWE_78__backticks__func_addslashes__cat-concatenation_simple_quote.php,CWE_78,func_addslashes,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0018,raw_sard_php/Injection/CWE_78/safe/CWE_78__backticks__func_htmlspecialchars__ls-sprintf_%s_simple_quote.php,CWE_78,func_htmlspecialchars,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0019,raw_sard_php/Injection/CWE_78/safe/CWE_78__backticks__func_preg_match-letters_numbers__ls-sprintf_%s_simple_quote.php,CWE_78,func_preg_match-letters_numbers,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0020,raw_sard_php/Injection/CWE_78/safe/CWE_78__backticks__func_preg_match-only_numbers__find_size-sprintf_%s_simple_quote.php,CWE_78,func_preg_match-only_numbers,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0021,raw_sard_php/Injection/CWE_78/safe/CWE_78__backticks__func_preg_replace2__cat-interpretation_simple_quote.php,CWE_78,func_preg_replace2,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0022,raw_sard_php/Injection/CWE_78/safe/CWE_78__exec__CAST-cast_float_sort_of__find_size-interpretation_simple_quote.php,CWE_78,CAST-cast_float_sort_of,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0023,raw_sard_php/Injection/CWE_78/safe/CWE_78__exec__CAST-cast_int__find_size-concatenation_simple_quote.php,CWE_78,CAST-cast_int,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0024,raw_sard_php/Injection/CWE_78/safe/CWE_78__exec__CAST-func_settype_float__find_size-concatenation_simple_quote.php,CWE_78,CAST-func_settype_float,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0025,raw_sard_php/Injection/CWE_78/safe/CWE_78__exec__func_floatval__find_size-concatenation_simple_quote.php,CWE_78,func_floatval,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0026,raw_sard_php/Injection/CWE_78/safe/CWE_78__exec__func_intval__find_size-sprintf_%s_simple_quote.php,CWE_78,func_intval,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0027,raw_sard_php/Injection/CWE_78/safe/CWE_78__exec__func_preg_replace2__cat-sprintf_%s_simple_quote.php,CWE_78,func_preg_replace2,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0028,raw_sard_php/Injection/CWE_78/safe/CWE_78__exec__func_preg_replace__cat-interpretation_simple_quote.php,CWE_78,func_preg_replace,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0029,raw_sard_php/Injection/CWE_78/safe/CWE_78__fopen__CAST-cast_int_sort_of__find_size-interpretation_simple_quote.php,CWE_78,CAST-cast_int_sort_of,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0030,raw_sard_php/Injection/CWE_78/safe/CWE_78__fopen__func_floatval__find_size-concatenation_simple_quote.php,CWE_78,func_floatval,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0031,raw_sard_php/Injection/CWE_78/safe/CWE_78__fopen__func_mysql_real_escape_string__find_size-sprintf_%s_simple_quote.php,CWE_78,func_mysql_real_escape_string,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0032,raw_sard_php/Injection/CWE_78/safe/CWE_78__object-Array__CAST-func_settype_float__find_size-concatenation_simple_quote.php,CWE_78,CAST-func_settype_float,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-20,85,
S0033,raw_sard_php/Injection/CWE_78/safe/CWE_78__object-Array__func_preg_match-only_numbers__find_size-concatenation_simple_quote.php,CWE_78,func_preg_match-only_numbers,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-20,85,
S0034,raw_sard_php/Injection/CWE_78/safe/CWE_78__object-classicGet__CAST-cast_int__find_size-sprintf_%s_simple_quote.php,CWE_78,CAST-cast_int,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0035,raw_sard_php/Injection/CWE_78/safe/CWE_78__object-classicGet__func_FILTER-CLEANING-number_float_filter__find_size-interpretation_simple_quote.php,CWE_78,func_FILTER-CLEANING-number_float_filter,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0036,raw_sard_php/Injection/CWE_78/safe/CWE_78__object-classicGet__func_preg_replace__cat-interpretation_simple_quote.php,CWE_78,func_preg_replace,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0037,raw_sard_php/Injection/CWE_78/safe/CWE_78__object-classicGet__whitelist_using_array__find_size-concatenation_simple_quote.php,CWE_78,whitelist_using_array,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0038,raw_sard_php/Injection/CWE_78/safe/CWE_78__object-directGet__func_FILTER-VALIDATION-number_int_filter__find_size-sprintf_%s_simple_quote.php,CWE_78,func_FILTER-VALIDATION-number_int_filter,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-20,85,
S0039,raw_sard_php/Injection/CWE_78/safe/CWE_78__object-directGet__func_htmlentities__cat-interpretation_simple_quote.php,CWE_78,func_htmlentities,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0040,raw_sard_php/Injection/CWE_78/safe/CWE_78__object-directGet__ternary_white_list__find_size-sprintf_%s_simple_quote.php,CWE_78,ternary_white_list,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0041,raw_sard_php/Injection/CWE_78/safe/CWE_78__object-indexArray__func_FILTER-CLEANING-number_float_filter__find_size-concatenation_simple_quote.php,CWE_78,func_FILTER-CLEANING-number_float_filter,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-20,85,
S0042,raw_sard_php/Injection/CWE_78/safe/CWE_78__object-indexArray__func_intval__find_size-sprintf_%s_simple_quote.php,CWE_78,func_intval,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0043,raw_sard_php/Injection/CWE_78/safe/CWE_78__popen__CAST-cast_int_sort_of2__find_size-concatenation_simple_quote.php,CWE_78,CAST-cast_int_sort_of2,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0044,raw_sard_php/Injection/CWE_78/safe/CWE_78__popen__func_htmlspecialchars__ls-sprintf_%s_simple_quote.php,CWE_78,func_htmlspecialchars,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0045,raw_sard_php/Injection/CWE_78/safe/CWE_78__proc_open__func_FILTER-VALIDATION-number_float_filter__find_size-concatenation_simple_quote.php,CWE_78,func_FILTER-VALIDATION-number_float_filter,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
S0046,raw_sard_php/Injection/CWE_78/safe/CWE_78__shell_exec__CAST-func_settype_float__find_size-interpretation_simple_quote.php,CWE_78,CAST-func_settype_float,Safe,A_clean,A,clean,1,gpt-4o-mini,Vulnerable,CWE-78,85,
